PNum,Product,VAA,State
0,VDI C AND E,VDI_PROD_P0,Activated
1,VDI FIFXMM,VDI_PROD_P1,Activated
2,VDI ETI,VDI_PROD_P2,Activated
3,VDI OTC MARKETS,VDI_PROD_P3,Activated
4,VDI C AND E,VDI_PROD_P4,Activated
5,VDI ETI,VDI_PROD_P5,Activated
6,VDI FIFXMM,VDI_PROD_P6,Activated
7,VDI OTC MARKETS,VDI_PROD_P7,Activated
