Partition Name,Num of Rules,Num of RICs subscribed,Num of RICs created,Rules List
partition0-vdi_interpreter,5,919,36749,commerz_gold_forwards|de42979|trpc_fv_de_2|trpc_fv_fr_1|trpc_fv_fr_2
partition1-vdi_interpreter,12,939,2289,caboner|cbs_audqq_jpyqq|cdora|fi_vnd_bond_fixing_curve|fi_vnd_zero_curve|jgb_curve_new|jp_fi_ratingmatrix|kr_fi_kofia|nspd2|recap|repo|testtpscactivechain
partition2-vdi_interpreter,23,179,237,cbs_chfqq_cadqq|sps_aal|sps_aqxl1_hkfxor_tsxl1_nbxl1_oxor|sps_bme|sps_br|sps_cb|sps_cf|sps_cfc|sps_ch|sps_cm|sps_csf|sps_cx|sps_cxc|sps_cxt|sps_ebf|sps_hkxor_ine_bd_tw_am_bov_cdd_jsejb_mxxms|sps_jse_mxx_nsei_enp|sps_lt|sps_mm|sps_o|sps_pnk|sps_st|sps_tq
partition3-vdi_interpreter,6,257,475,azn_cbaj|cbs_gbpqq_eurqq|de67818|krw_chrisv2|krwndf_reut|sicad_vefeur_fx_rate
partition4-vdi_interpreter,1,3,4,silver_fix_eod
partition5-vdi_interpreter,43,107,113,derivative_v1oi1_rics_2|oslo_nibor|spbmi|sps_aq|sps_asx|sps_ba|sps_bs|sps_cft|sps_cxd|sps_cxj|sps_eca|sps_edx|sps_em|sps_en|sps_ena|sps_enl|sps_eso|sps_hkf|sps_isd|sps_ko|sps_lib|sps_ls|sps_mge|sps_mki|sps_mkx|sps_ml|sps_msr_cpx_kwx_riy_pse_ix_px1_gld_are_arexor|sps_mtl|sps_na|sps_nal|sps_nb|sps_ob|sps_one|sps_os|sps_pl|sps_qd|sps_qni|sps_rtsx_bdh_bdhxor_xdh_xdhxor_irg_irqxor|sps_s|sps_tom_sgd_fnr|sps_ts|sps_xe|sps_mfds1ml1_col_ist_gse_gid
partition6-vdi_interpreter,33,993,447,bcommt2|bmf_ndf_rolagem_eei|cbs_dkkeurqq|cbs_nokeurqq|cfesicap30|cfetsicap01|cfetsicap02|cfetsicap03|cfetsicap06|cfetsicap07|cfetsicap08|cfetsicap09|cfetsicap10|cfetsicap11|cfetsicap15|cfetsicap17|copy_jpnu_to_fxaa|gbpprime_icheck|iboxx_monitoring|icheck_migration|lmx|mop_rtrs|mrt_de17585_mop_rtrs|pyg_pybc|r2r_icheckmigration|r2r_ohlc|r2r_v_icheckmigration|reg_de_14699_hitoshi_ttmcomp|reg_de32060_omo_serbia_tatjana_vera|reg_de32067_tatjana_pavel|spread_continuous|synthetic_ibor|usd12m_synthetic_swap
partition7-vdi_interpreter,27,678,1870,10_mins_snap|99_rics|aciswap_bpages|anbimsp2rv1|argentina_curve|b_page_to_page|bangladesh_tbills|brlprecurve|caibor_app|cbs_cnhqq_zarqq|ccil01rics|de_78075_serp|euribor_vd_ric|fixings_sora_logical_ric|gbbasetogbpprime|libor_interp|mwk_rbml|nimisha_test|once_a_day|otc_environment_test|rta_zerocurve_testmail|test_mail_alert_1|treu_rics|uardfix_value_date|wibor_delayed_rics3|wibor_delayed_rics44|wibor_x
